Airport Name,City,ICAO,IATA,Exported date
Saint-Cyr-l'École Aerodrome[4](UAF),Saint-Cyr-l'École,LFPZ,XZB,31/05/2025
Toussus-le-Noble Airport[4],Toussus-le-Noble,LFPN,TNF,31/05/2025
Vélizy – Villacoublay Air Base(BA 107),Vélizy-Villacoublay,LFPV,VIY,31/05/2025
Niort - Souché Airport(WEBUAF),Niort/Souché,LFBN,NIT,31/05/2025
Aerodrome Abbeville,Abbeville/Buigny-Saint-Maclou,LFOI,XAB,31/05/2025
Albert – Picardie Airport,Albert/Bray-sur-Somme,LFAQ,BYF,31/05/2025
Amiens – Glisy Aerodrome,Amiens/Glisy,LFAY,QAM,31/05/2025
Albi - Le Sequestre Aerodrome(UAF),Albi/Le Sequestre,LFCI,LBI,31/05/2025
Castres–Mazamet Airport,Castres/Mazamet,LFCK,DCM,31/05/2025
Montauban Airport,Montauban,LFDB,XMW,31/05/2025
La Môle – Saint-Tropez Airport,Saint-Tropez/La Môle,LFTZ,LTT,31/05/2025
Le Castellet Airport,Le Castellet,LFMQ,CTT,31/05/2025
Saint-Tropez - Le Pilon Heliport,Saint-Tropez/Le Pilon,LFTT,JSZ,31/05/2025
Toulon–Hyères Airport,Toulon/Hyères/Le Palyvestre,LFTH,TLN,31/05/2025
Avignon – Provence Airport,Avignon/Caumont-sur-Durance,LFMV,AVN,31/05/2025
Orange-Caritat Air Base(BA 115),Orange/ Caritat,LFMO,XOG,31/05/2025
Île d'Yeu Aerodrome,Île d'Yeu,LFEY,IDY,31/05/2025
La Roche-sur-Yon Aerodrome(UAF),La Roche-sur-Yon/Les Ajoncs,LFRI,EDM,31/05/2025
Les Sables-d'Olonne - Talmont Airport,Les Sables-d'Olonne/Talmont-Saint-Hilaire,LFOO,LSO,31/05/2025
Châtellerault - Targe Airport,Châtellerault/Targe,LFCA,XCX,31/05/2025
Poitiers–Biard Airport,Poitiers/Biard,LFBI,PIS,31/05/2025
Limoges – Bellegarde Airport,Limoges/Bellegarde,LFBL,LIG,31/05/2025
Épinal – Mirecourt Airport,Épinal/Mirecourt,LFSG,EPL,31/05/2025
Saint-Dié - Remomeix Airport,Saint-Dié-des-Vosges/Remomeix,LFGY,XTD,31/05/2025
Vittel - Champ-de-Courses Airport,Vittel/Champ de Courses,LFSZ,VTL,31/05/2025
Auxerre – Branches Aerodrome,Auxerre/Branches,LFLA,AUF,31/05/2025
Belfort - Fontaine Aerodrome,Belfort/Fontaine,LFSQ,BOR,31/05/2025
Évry Heliport,Évry,,JEV,31/05/2025
Paris - La Défense Heliport,La Défense,,JPU,31/05/2025
Paris–Le Bourget Airport,Paris/Le Bourget,LFPB,LBG,31/05/2025
Orly Airport,Paris/Athis-Mons/Chilly-Mazarin/Morangis/Orly/Paray-Vieille-Poste/Villeneuve-le-Roi/Wissous,LFPO,ORY,31/05/2025
Charles de Gaulle Airport,Paris/Épiais-lès-Louvres/Le Mesnil-Amelot/Mauregard/Mitry-Mory/Roissy-en-France/Tremblay-en-France,LFPG,CDG,31/05/2025
Persan-Beaumont Airport[4],Persan/Beaumont-sur-Oise,LFPA,XYP,31/05/2025
Pontoise – Cormeilles Aerodrome[4],Pontoise/Cormeilles-en-Vexin,LFPT,POX,31/05/2025
